model,tier,layer,cosine,causal_similarity,causal_projection
RRDN4-b50,neutral,6,-0.0694542866426387,0.11938645551093877,65.06923690840232
RRDN4-b50,neutral,8,-0.009048780987837485,0.5866091256964862,396.38560323798487
RRDN4-b50,neutral,10,-0.06510656352038495,-0.39577383770565594,-332.3247383760512
RRDN4-b50,neutral,12,-0.15037456480786204,-0.8314803523525338,-880.5330972800549
RRDN4-b50,neutral,14,-0.17053268866347415,-0.8995515757109676,-1059.5910808250999
RRDN4-b50,neutral,16,-0.19742110447692018,-0.897806355996518,-1229.6084003538447
RRDN4-b50,neutral,18,-0.21404930878430606,-0.9279780658501525,-1440.7130996456608
RRDN4-b50,neutral,20,-0.21954018882076656,-0.9293729578941806,-1867.8083538444948
RRDN4-b50,neutral,22,-0.21670537994908434,-0.9095165937895837,-2688.909625504651
RRDN4-b50,neutral,24,-0.3780356482842139,-0.9731695848862673,-5607.903505155084
RRDN4-b50,neutral,27,-0.46470033888305934,-0.9879834356212213,-13862.918346204946
RRDN4-b50,_steepness,0,0.35259458592078385,0.34879680803393576,1.5646221146176003
RRDN4-b50,_steepness,2,0.3714335074049554,0.14730336675084,56.51950675150766
RRDN4-b50,_steepness,4,0.39491253192104137,0.17451768219563957,40.546399318343816
RRDN4-b50,_steepness,6,0.4048449793311634,0.17007024833985854,57.673822827461805
RRDN4-b50,_steepness,8,0.41009046333176746,0.12393375029201792,57.63725909308533
RRDN4-b50,_steepness,10,0.4267833471938502,0.1787742418349751,177.6225480417796
RRDN4-b50,_steepness,12,0.45067937682848425,0.12951770611534574,370.40791598287234
RRDN4-b50,_steepness,14,0.4557120414959666,0.1275274787772216,480.97927349812664
RRDN4-b50,_steepness,16,0.4652582799709801,0.12376040535823118,559.391402100617
RRDN4-b50,_steepness,18,0.4782665564399213,0.09772092114191022,621.617105757925
RRDN4-b50,_steepness,20,0.509447439958541,0.12004589062486548,1025.4303507130871
RRDN4-b50,_steepness,22,0.45013587991440934,0.07108610381453961,1156.3604871770149
RRDN4-b50,_steepness,24,0.4311575538741558,0.17381863786116858,3206.5532673674234
RRDN4-b50,_steepness,27,0.5010795148375576,0.08225250606162648,7184.934647898749
